Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5
0,0.18095738,0.18095738,0.18095738,0.18095738,0.18095738,0.18095738
1,0.11097309,0.11097309,0.11097309,0.11097309,0.14934157,0.1769722
2,0.053073063,0.10227477,0.15757722,0.15757722,0.15757722,0.15757722
3,0.14763677,0.16679277,0.16679277,0.16679277,0.16679277,0.16679277
4,0.067646466,0.106650606,0.106650606,0.106650606,0.106650606,0.106650606
5,0.10436374,0.10572527,0.10572527,0.10572527,0.10572527,0.10572527
6,0.060921993,0.060921993,0.078071184,0.078071184,0.09505639,0.13595758
7,0.035341848,0.18919593,0.18919593,0.18919593,0.18919593,0.18919593
8,0.073504195,0.105714776,0.14029916,0.14029916,0.14029916,0.14029916
9,0.07677005,0.1604948,0.1604948,0.1604948,0.1604948,0.1604948
10,0.1260811,0.1260811,0.16651896,0.16651896,0.16651896,0.16651896
11,0.09599862,0.09599862,0.10227477,0.12898462,0.13580362,0.13580362
12,0.19342472,0.19342472,0.19342472,0.19342472,0.19342472,0.19342472
13,0.055213813,0.076750174,0.076750174,0.110766254,0.12063025,0.12063025
14,0.09398217,0.12285728,0.12285728,0.12285728,0.13517135,0.13517135
15,0.09437443,0.099208675,0.099208675,0.099208675,0.099208675,0.099208675
16,0.030397575,0.09070952,0.116716035,0.116716035,0.116716035,0.116716035
17,0.08534878,0.14029916,0.14029916,0.14029916,0.14895728,0.14895728
18,0.010389327,0.12524238,0.12524238,0.12524238,0.12524238,0.13577874
19,0.07588746,0.090396985,0.090396985,0.17086694,0.17086694,0.17086694
20,0.0680887,0.0694367,0.0694367,0.0694367,0.0694367,0.18095738
21,0.06288598,0.06949654,0.06949654,0.1928824,0.1928824,0.1928824
22,0.058941644,0.080815494,0.18264867,0.18264867,0.18264867,0.18264867
23,0.15005654,0.15005654,0.15005654,0.15005654,0.15005654,0.15005654
24,0.029490568,0.029490568,0.11182556,0.11182556,0.11182556,0.14194742
25,0.11263864,0.11263864,0.11263864,0.11472947,0.11472947,0.11472947
26,0.058222644,0.20720853,0.20720853,0.20720853,0.20720853,0.20720853
27,0.17815378,0.17815378,0.17815378,0.17815378,0.17815378,0.17815378
28,0.059013266,0.067198806,0.067198806,0.067198806,0.067198806,0.07822733
29,0.13108122,0.13108122,0.13108122,0.13108122,0.13108122,0.19342472
